Algorithm,Size,Trial,Time_sec
BruteForce,12,8,0.0004915200
GreedyIterative,12,8,0.0000240000
BruteForce,12,9,0.0004915200
GreedyIterative,12,9,0.0000240000
BruteForce,12,10,0.0004915200
GreedyIterative,12,10,0.0000240000
BruteForce,13,1,0.0010649600
GreedyIterative,13,1,0.0000260000
BruteForce,13,2,0.0010649600
GreedyIterative,13,2,0.0000260000
BruteForce,13,3,0.0010649600
GreedyIterative,13,3,0.0000260000
BruteForce,13,4,0.0010649600
GreedyIterative,13,4,0.0000260000
BruteForce,13,5,0.0010649600
GreedyIterative,13,5,0.0000260000
BruteForce,13,6,0.0010649600
GreedyIterative,13,6,0.0000260000
BruteForce,13,7,0.0010649600
GreedyIterative,13,7,0.0000260000
BruteForce,13,8,0.0010649600
GreedyIterative,13,8,0.0000260000
BruteForce,13,9,0.0010649600
GreedyIterative,13,9,0.0000260000
BruteForce,13,10,0.0010649600
GreedyIterative,13,10,0.0000260000
BruteForce,14,1,0.0022937600
GreedyIterative,14,1,0.0000280000
BruteForce,14,2,0.0022937600
GreedyIterative,14,2,0.0000280000
BruteForce,14,3,0.0022937600
GreedyIterative,14,3,0.0000280000
BruteForce,14,4,0.0022937600
GreedyIterative,14,4,0.0000280000
BruteForce,14,5,0.0022937600
GreedyIterative,14,5,0.0000280000
BruteForce,14,6,0.0022937600
GreedyIterative,14,6,0.0000280000
BruteForce,14,7,0.0022937600
GreedyIterative,14,7,0.0000280000
BruteForce,14,8,0.0022937600
GreedyIterative,14,8,0.0000280000
BruteForce,14,9,0.0022937600
GreedyIterative,14,9,0.0000280000
BruteForce,14,10,0.0022937600
GreedyIterative,14,10,0.0000280000
BruteForce,15,1,0.0049152000
GreedyIterative,15,1,0.0000300000
BruteForce,15,2,0.0049152000
GreedyIterative,15,2,0.0000300000
BruteForce,15,3,0.0049152000
GreedyIterative,15,3,0.0000300000
BruteForce,15,4,0.0049152000
GreedyIterative,15,4,0.0000300000
BruteForce,15,5,0.0049152000
GreedyIterative,15,5,0.0000300000
BruteForce,15,6,0.0049152000
GreedyIterative,15,6,0.0000300000
BruteForce,15,7,0.0049152000
GreedyIterative,15,7,0.0000300000
BruteForce,15,8,0.0049152000
GreedyIterative,15,8,0.0000300000
BruteForce,15,9,0.0049152000
GreedyIterative,15,9,0.0000300000
BruteForce,15,10,0.0049152000
GreedyIterative,15,10,0.0000300000
BruteForce,16,1,0.0104857600
GreedyIterative,16,1,0.0000320000
BruteForce,16,2,0.0104857600
GreedyIterative,16,2,0.0000320000
BruteForce,16,3,0.0104857600
GreedyIterative,16,3,0.0000320000
BruteForce,16,4,0.0104857600
GreedyIterative,16,4,0.0000320000
BruteForce,16,5,0.0104857600
GreedyIterative,16,5,0.0000320000
BruteForce,16,6,0.0104857600
GreedyIterative,16,6,0.0000320000
BruteForce,16,7,0.0104857600
GreedyIterative,16,7,0.0000320000
BruteForce,16,8,0.0104857600
GreedyIterative,16,8,0.0000320000
BruteForce,16,9,0.0104857600
GreedyIterative,16,9,0.0000320000
BruteForce,16,10,0.0104857600
GreedyIterative,16,10,0.0000320000
BruteForce,18,1,0.0471859200
GreedyIterative,18,1,0.0000360000
BruteForce,18,2,0.0471859200
GreedyIterative,18,2,0.0000360000
BruteForce,18,3,0.0471859200
GreedyIterative,18,3,0.0000360000
BruteForce,18,4,0.0471859200
GreedyIterative,18,4,0.0000360000
BruteForce,18,5,0.0471859200
GreedyIterative,18,5,0.0000360000
BruteForce,18,6,0.0471859200
GreedyIterative,18,6,0.0000360000
BruteForce,18,7,0.0471859200
GreedyIterative,18,7,0.0000360000
BruteForce,18,8,0.0471859200
GreedyIterative,18,8,0.0000360000
BruteForce,18,9,0.0471859200
GreedyIterative,18,9,0.0000360000
BruteForce,18,10,0.0471859200
GreedyIterative,18,10,0.0000360000
BruteForce,20,1,0.2097152000
GreedyIterative,20,1,0.0000400000
BruteForce,20,2,0.2097152000
GreedyIterative,20,2,0.0000400000
BruteForce,20,3,0.2097152000
GreedyIterative,20,3,0.0000400000
BruteForce,20,4,0.2097152000
GreedyIterative,20,4,0.0000400000
BruteForce,20,5,0.2097152000
GreedyIterative,20,5,0.0000400000
BruteForce,20,6,0.2097152000
GreedyIterative,20,6,0.0000400000
BruteForce,20,7,0.2097152000
GreedyIterative,20,7,0.0000400000
BruteForce,20,8,0.2097152000
GreedyIterative,20,8,0.0000400000
BruteForce,20,9,0.2097152000
GreedyIterative,20,9,0.0000400000
BruteForce,20,10,0.2097152000
GreedyIterative,20,10,0.0000400000
BruteForce,22,1,0.9227468800
GreedyIterative,22,1,0.0000440000
BruteForce,22,2,0.9227468800
GreedyIterative,22,2,0.0000440000
BruteForce,22,3,0.9227468800
GreedyIterative,22,3,0.0000440000
BruteForce,22,4,0.9227468800
GreedyIterative,22,4,0.0000440000
BruteForce,22,5,0.9227468800
GreedyIterative,22,5,0.0000440000
BruteForce,22,6,0.9227468800
GreedyIterative,22,6,0.0000440000
BruteForce,22,7,0.9227468800
GreedyIterative,22,7,0.0000440000
BruteForce,22,8,0.9227468800
GreedyIterative,22,8,0.0000440000
BruteForce,22,9,0.9227468800
GreedyIterative,22,9,0.0000440000
BruteForce,22,10,0.9227468800
GreedyIterative,22,10,0.0000440000
